"wordform","sum_freq","norm_freq","log_freq","sqrt_freq","bcLambda_0.0","bcLambda_0.1","bcLambda_0.2","bcLambda_0.3","bcLambda_0.4","bcLambda_0.5","bcLambda_0.6","bcLambda_0.7","bcLambda_0.8","bcLambda_0.9","bcLambda_1.0","Moby_pron","Rep_P","Rep_O","sem_1","sem_2","sem_3","sem_4","sem_5","sem_6","sem_7","sem_8","sem_9","sem_10","sem_11","sem_12","sem_13","sem_14","sem_15","sem_16","sem_17","sem_18","sem_19","sem_20","sem_21","sem_22","sem_23","sem_24","sem_25","sem_26","sem_27","sem_28","sem_29","sem_30","sem_31","sem_32","sem_33","sem_34","sem_35","sem_36","sem_37","sem_38","sem_39","sem_40","sem_41","sem_42","sem_43","sem_44","sem_45","sem_46","sem_47","sem_48","sem_49","sem_50","sem_1_ori","sem_2_ori","sem_3_ori","sem_4_ori","sem_5_ori","sem_6_ori","sem_7_ori","sem_8_ori","sem_9_ori","sem_10_ori","sem_11_ori","sem_12_ori","sem_13_ori","sem_14_ori","sem_15_ori","sem_16_ori","sem_17_ori","sem_18_ori","sem_19_ori","sem_20_ori","sem_21_ori","sem_22_ori","sem_23_ori","sem_24_ori","sem_25_ori","sem_26_ori","sem_27_ori","sem_28_ori","sem_29_ori","sem_30_ori","sem_31_ori","sem_32_ori","sem_33_ori","sem_34_ori","sem_35_ori","sem_36_ori","sem_37_ori","sem_38_ori","sem_39_ori","sem_40_ori","sem_41_ori","sem_42_ori","sem_43_ori","sem_44_ori","sem_45_ori","sem_46_ori","sem_47_ori","sem_48_ori","sem_49_ori","sem_50_ori"
"gates",6430,14.28888889,0.249499364,80.18728079,8.768729817,14.03372554,23.88099816,42.94119888,80.91120549,158.3745616,319.533183,660.2539169,1390.23584,2971.563447,6429,"g/eI/ts","_/_/g/e/t/s/_/","_/_/g/a/t/e/s/_/",1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0.87905,0.59727,1.0224,0.11752,0.39602,-0.96573,-0.30582,-0.23948,-0.055095,-0.81007,-1.1208,0.28619,-0.70555,-0.18418,-0.087045,0.58106,0.17432,0.14088,0.015831,-0.61411,0.65692,0.24592,-0.44034,-0.70791,0.36911,-1.3499,0.58628,0.47493,-0.4351,-0.44723,1.7794,-0.33089,0.059387,-0.32728,-0.0045121,-0.14122,0.45681,0.17836,-0.71922,0.19684,0.15168,0.38728,-0.22849,0.11049,0.45461,0.1971,-0.26286,-0.48765,-0.74929,0.10894
"gauche",218,0.484444444,0.05,14.76482306,5.384495063,7.133482659,9.677811402,13.43213514,19.04381475,27.52964612,40.49547331,60.49008236,91.57719083,140.2624946,217,"g/oU/S/","_/_/g/o/S/_/_/","_/_/g/a/u/c/h/e/",1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1.6673,0.014309,-0.66386,-0.82612,-0.076158,-0.57585,-0.19471,0.29872,-0.58079,-0.16428,0.94677,0.097847,-0.14669,1.0589,-0.69848,0.47728,0.30734,0.044179,0.30341,-0.2632,-1.0021,0.75311,0.31359,0.121,-0.82522,1.5304,-1.316,0.48251,0.71831,0.84836,-0.53098,0.074868,-1.5239,0.55683,-0.096272,0.039389,-0.26267,0.079196,0.56131,-0.19318,0.6969,-1.6282,0.4256,-0.43629,0.3618,-0.64426,0.19603,0.12515,0.42035,0.41308
"gauge",3692,8.204444444,0.203074698,60.76183012,8.213923596,12.73663392,20.84772609,35.84601905,64.31049441,119.5236602,228.5865813,447.3014691,891.4784326,1803.123516,3691,"g/eI/dZ/","_/_/g/e/J/_/_/","_/_/g/a/u/g/e/_/",0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,-0.48712,0.19172,1.1885,-0.51698,-0.41752,0.32251,-0.082907,-0.71028,-0.17979,-0.60266,0.4733,-0.38702,-0.30628,-0.11297,-1.4048,0.69915,0.14633,-0.16546,-0.45776,-1.1985,0.77591,-1.2239,-0.15257,0.37404,1.0703,-0.30781,-0.59462,0.44459,0.73074,0.8859,2.0549,-0.37318,0.43364,-0.32474,0.52121,-1.0475,0.21979,0.28199,-0.21969,0.89836,0.13938,-0.97898,0.0073661,0.16434,-0.25413,-0.43293,0.96406,0.58771,1.2716,-0.34719
"gaunt",773,1.717777778,0.091471044,27.80287755,6.650279049,9.445447828,13.90627206,21.1760618,33.24471233,53.6057551,88.43990081,148.7567906,254.2868919,440.5803822,772,"g/O/nt","_/_/g/a/n/t/_/","_/_/g/a/u/n/t/_/",1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0.45567,0.17157,0.12023,-1.2076,0.90065,0.01541,0.027385,0.3129,-0.49732,-0.40025,-0.18177,-0.12616,0.027483,-0.064296,-0.048975,0.11249,-0.81316,-0.40889,0.048334,0.087813,-1.4312,0.72465,0.37548,-0.13305,-0.154,-0.22986,-0.64548,0.79691,0.003856,1.0493,-0.44582,-0.27816,0.81375,-0.17109,0.66461,0.38368,-0.10669,0.31896,-0.34832,-1.6252,0.33618,0.38436,-0.23052,-0.26228,0.76842,-0.15355,0.11891,-1.3694,-0.072607,0.1611
"gauss",52,0.115555556,0.05,7.211102551,3.951243719,4.84568818,6.019722877,7.573024645,9.643429229,12.4222051,16.17562998,21.27552907,28.24257469,37.80778377,51,"g/AU/s","_/_/g/A/s/_/_/","_/_/g/a/u/s/s/_/",1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0.24138,0.44353,0.15653,-0.73044,0.026374,1.4943,0.66996,-0.91225,-0.5836,-0.057724,0.44262,0.69505,-0.4334,-0.72894,0.16026,-0.42501,0.66765,-0.49725,-0.43344,0.53067,0.039876,-2.1667,0.24408,-0.32455,-0.095795,-0.4439,-0.42842,-0.25657,0.392,-0.093311,-0.78079,-0.21971,-0.78088,0.00025525,-0.16855,0.025087,-0.023929,1.3568,0.25616,1.9497,1.0395,0.73776,-0.71643,0.67268,-1.1219,-0.99415,0.90425,0.806,-0.061299,-0.4553
"gauze",860,1.911111111,0.097758126,29.3257566,6.756932389,9.653949921,14.31388738,21.97294502,34.80262455,56.65151319,94.39449193,160.3983886,277.0471597,485.0789725,859,"g/O/z","_/_/g/a/z/_/_/","_/_/g/a/u/z/e/_/",1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,-0.035354,-0.74822,-1.2242,-0.67868,-0.3961,0.48403,0.67557,-0.48407,0.25534,-0.40727,0.44884,-0.25355,0.39073,0.46175,0.048905,0.57184,-0.31399,-0.23262,0.40356,-0.76677,0.024125,0.91853,0.51721,-1.2059,-1.0802,0.043113,-0.24233,1.537,0.41364,-0.73668,0.30817,0.31838,-0.64765,0.49862,-0.75598,1.8431,0.43068,1.0934,0.73763,0.28193,0.71619,1.3196,0.030702,0.57754,0.67188,-0.85997,0.53504,-0.35119,-0.67104,-0.94497
"gave",89378,198.6177778,0.484557503,298.961536,11.40062985,21.2696531,43.88956024,98.58397258,236.51891,595.923072,1556.40392,4174.599435,11424.75787,31757.76021,89377,"g/eI/v","_/_/g/e/v/_/_/","_/_/g/a/v/e/_/_/",1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0.0065837,0.29136,-5.5779e-05,-0.031285,0.76516,0.0066307,-0.96628,0.56699,-0.40185,0.23521,-0.23713,0.10377,-0.34063,-0.29473,0.45255,-0.57198,-0.26533,-1.0092,-0.64242,-0.19775,-0.18426,0.41199,0.1548,-0.71904,0.31014,-1.6166,-0.072801,-0.18007,-0.49529,-0.52442,2.707,0.2376,-0.14073,-0.024016,0.11642,-0.23657,0.46737,0.34074,0.085699,-0.50767,0.59033,0.32394,-0.54082,-0.26176,-0.29694,0.057471,-0.42508,0.42426,0.042196,-0.045257
"gawk",260,0.577777778,0.05,16.1245155,5.560681631,7.43802656,10.20423851,14.34212767,20.61688688,30.24903099,45.19662158,68.61742273,105.6280918,164.5549337,259,"g/O/k","_/_/g/a/k/_/_/","_/_/g/a/w/k/_/_/",1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0.044142,0.38739,0.58609,-0.76999,0.30322,-0.99254,0.082423,0.59667,-0.51185,0.74288,-0.029568,-0.44918,0.40749,-0.15027,-0.024662,0.88577,0.12299,0.035905,-0.25799,-0.85217,0.35768,0.64328,-0.38603,0.41737,1.115,0.16374,-0.42179,-0.15641,0.7286,-0.8984,-0.73358,1.5335,0.44082,-0.43774,0.047986,0.011481,-0.010882,-0.046163,0.0039976,0.51211,-0.073178,-0.092239,0.27398,0.90354,0.83433,-0.68373,0.55578,-0.86139,0.30887,-0.53577
"gay",20494,45.54222222,0.351346887,143.1572562,9.927887439,16.98750111,31.41626081,62.18559192,130.1144051,284.3145124,642.2427684,1488.071994,3516.066088,8436.539718,20493,"g/eI/","_/_/g/e/_/_/_/","_/_/g/a/y/_/_/_/",0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,-0.48266,0.70319,-0.87568,-0.41409,0.29543,1.1988,-0.69071,-0.89665,-0.081146,0.41881,-0.24399,-0.69555,0.33387,0.68706,0.66663,-0.42201,0.049815,-0.72012,-0.15774,-0.0034304,-0.44663,0.52183,-0.47803,1.2548,-0.23515,-1.8862,0.062608,-0.38947,-0.2711,-0.49948,1.3714,0.68663,-0.74335,-1.0549,-1.1327,-1.2733,0.12517,-0.92555,-1.0569,0.18174,-0.34026,0.46857,0.27067,0.87784,0.34775,-0.37112,-0.7609,-0.84223,-0.19891,0.85187
"gaze",11593,25.76222222,0.300720292,107.6707946,9.358156747,15.49292003,27.49444858,51.89189193,103.0889188,213.3415891,455.8071592,998.2008849,2228.553956,5051.707906,11592,"g/eI/z","_/_/g/e/z/_/_/","_/_/g/a/z/e/_/_/",1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0.235,0.54849,0.18376,-1.4425,0.97047,-0.66675,0.79023,0.29887,-0.1325,0.1046,-0.015801,0.50463,-0.020337,1.0938,-0.69782,0.3588,0.090527,-0.4392,-0.43182,-0.56123,0.02077,0.95188,-0.31695,-0.32934,0.91945,-0.56309,0.21345,0.77606,0.073312,-0.086001,0.59116,0.78511,0.7858,-0.91616,-0.6996,0.31112,-0.25243,-0.45273,-0.14956,-0.89117,0.14804,0.24243,0.1741,0.34648,0.1013,-0.44646,1.1875,-0.86566,-0.086522,-0.44923
"gear",13093,29.09555556,0.311459724,114.4246477,9.479833015,15.80500317,28.29490943,53.94501624,108.3550994,226.8492954,490.4547328,1087.073795,2456.520614,5636.469199,13092,"g/i/r","_/_/g/i/r/_/_/","_/_/g/e/a/r/_/_/",0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,-0.41477,-0.71609,0.63595,-0.0090158,-0.51074,0.050188,-0.43449,-0.57833,0.64624,-0.96775,0.63589,0.11783,-0.53952,1.1946,-0.67579,0.4627,-0.57045,0.46142,-0.87849,-1.837,0.19415,0.17966,-0.54773,0.042755,-0.054977,-0.56381,0.11725,0.1027,0.87894,0.12084,2.3095,0.53491,-0.34017,0.021235,0.4081,1.2527,0.60419,-0.17493,-0.34936,0.068249,0.37791,0.15254,-0.0112,0.51618,0.60428,-0.64505,1.1207,-0.46094,0.16656,-0.089724
"gee",2985,6.633333333,0.185951634,54.63515352,8.001355026,12.25842515,19.77187452,33.42552766,58.86457672,107.270307,201.0154126,385.2614764,751.8722551,1488.961364,2984,"/dZ/i/","_/_/J/i/_/_/_/","_/_/g/e/e/_/_/_/",0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,-0.50064,0.56601,0.85532,-0.61011,-0.55987,-2.2818,0.021498,0.29318,-0.34227,0.54991,-0.31819,1.2787,-0.79983,-0.6724,-0.18691,1.1091,0.082393,-0.36314,0.7275,0.77661,-0.32673,0.73006,0.81246,-0.071505,0.51859,-0.7309,-1.9563,-0.40675,0.053756,-0.3789,0.26263,-0.24594,0.085865,1.4325,1.665,-0.25158,0.33969,-0.25302,0.59607,0.81487,-0.15561,0.95483,-0.22189,-0.28798,0.21498,-0.31661,0.32371,-0.10008,-0.18948,0.71313
"geek",770,1.711111111,0.09124635,27.74887385,6.646390515,9.43788787,13.89157424,21.14748679,33.18915774,53.4977477,88.22991641,148.3485459,253.493196,439.0373048,769,"g/i/k","_/_/g/i/k/_/_/","_/_/g/e/e/k/_/_/",0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,-0.91275,0.070963,-0.17605,-0.31972,0.75991,-1.0345,0.056754,-1.2063,0.069256,0.82002,-0.065425,0.016863,-0.16176,0.98518,0.41202,0.21077,-0.19392,0.92861,0.15519,0.66738,-0.17599,0.44744,-0.0068853,1.437,-0.20792,-0.66189,-1.4811,0.16246,-0.014685,-0.37261,0.31635,0.27855,0.096532,0.057898,-0.26542,0.6331,-0.1958,-0.16371,0.12279,-1.0118,0.62788,0.0561,-0.53938,0.8177,0.85064,0.57567,0.9765,-0.033409,0.4425,0.40123
"geese",1951,4.335555556,0.153186885,44.17012565,7.576097341,11.33171275,17.75209845,29.02274857,49.26579837,86.3402513,155.3707388,285.7037278,534.6895762,1015.111919,1950,"g/i/s","_/_/g/i/s/_/_/","_/_/g/e/e/s/e/_/",1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0.90669,-0.42051,-0.74931,-1.1195,0.030462,1.146,-1.4476,-0.64871,0.73622,-0.77106,0.48138,0.10704,1.9858,0.44639,0.70976,0.33808,0.91379,-0.045317,-1.8832,-0.209,-0.57897,-0.69289,0.11846,0.13597,1.0091,0.014665,0.61949,0.6769,0.30423,-0.95767,-0.2361,1.4272,0.5162,0.26103,-0.40101,-0.16087,0.34074,-0.58827,-0.40926,0.67044,-0.81809,0.50442,0.63927,0.010677,0.99027,0.13478,-0.24685,0.087014,-0.39141,-0.10192
"gel",2264,5.031111111,0.164397665,47.58150901,7.724888439,11.6514827,18.43933515,30.49975729,52.44024322,93.16301803,170.0350365,317.2225533,602.4360649,1160.728746,2263,"/dZ/E/l","_/_/J/E/l/_/_/","_/_/g/e/l/_/_/_/",1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0.53499,-0.4424,-0.1448,-0.073086,-0.83321,1.0919,1.0244,-0.9819,0.51192,0.88299,1.1454,-0.63794,0.041887,0.24628,-0.19552,1.4106,-0.026765,0.25247,0.26738,-0.71501,-0.43887,0.48585,1.4036,-0.095083,-1.2868,0.33074,-0.49759,0.9808,0.31307,-0.21455,0.89388,-0.20496,-1.6292,0.21509,-0.16583,0.40171,0.25316,1.1757,0.89266,-0.63244,1.0406,0.29547,-0.29433,0.64747,0.58822,-0.77586,1.0986,-0.11681,-0.24763,-0.47402
"gem",1514,3.364444444,0.134806751,38.91015292,7.322510434,10.79756966,16.62694518,26.65252659,44.27247578,75.82030583,133.2061026,239.0022126,436.282898,807.7440821,1513,"/dZ/E/m","_/_/J/E/m/_/_/","_/_/g/e/m/_/_/_/",0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,-0.76529,0.084064,-0.61401,1.3135,0.6817,-0.8333,-0.056823,-0.38317,0.64638,0.82701,0.10383,0.47743,0.40415,0.10804,0.22948,-0.015701,0.70727,0.64529,-0.35696,-0.14295,0.56971,-0.16952,-0.431,-0.53972,-0.37313,0.020726,-1.0472,0.32184,0.45839,-0.64816,1.0342,-0.98641,0.61171,0.50788,0.57082,0.67608,-0.46431,-0.19947,0.028241,-0.29077,-0.30551,-0.095878,0.36689,-0.17553,-0.14432,-0.19148,-0.048665,0.053173,0.21109,-0.87219
"gems",1262,2.804444444,0.122243532,35.52463934,7.140453043,10.42236037,15.85364016,25.05870363,40.9874308,69.04927867,119.2494978,210.2337273,376.9813274,685.500131,1261,"g/E/mz","_/_/J/E/m/z/_/","_/_/g/e/m/s/_/_/",0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-0.60237,-0.010114,-0.066975,1.2764,0.74541,-0.97212,-0.23111,-0.75489,0.51153,1.0436,0.065974,0.77504,0.22935,-0.088905,0.70163,0.38243,0.31375,0.49248,0.21265,-0.35269,1.351,0.31629,0.37701,-0.77061,-0.72811,0.40314,-1.3452,0.098256,0.46625,-1.0758,0.99458,-0.6132,0.70791,0.19565,0.77755,1.2136,-0.65641,-0.19341,-0.32252,-0.40471,-0.10501,0.15389,0.47969,-0.32885,-0.37948,0.20164,-0.090427,0.065336,-0.78215,-1.472
"gene",8295,18.43333333,0.271443994,91.07689059,9.023408203,14.65367344,25.3901807,46.61530605,89.8563083,180.1537812,372.5633197,789.3837608,1704.687537,3737.344616,8294,"/dZ/i/n","_/_/J/i/n/_/_/","_/_/g/e/n/e/_/_/",1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0.54777,0.22513,0.42838,1.2395,0.5813,2.0708,-0.22478,-0.84271,0.88146,0.58689,1.3019,0.70439,-0.11435,0.52642,0.20975,0.62767,-0.24285,-0.47832,-0.067646,0.16687,-1.2252,-0.97606,1.2514,0.34069,-0.016672,-0.92895,-0.40567,-0.53955,0.056086,-0.7181,1.3543,-0.68485,-0.14546,-1.3674,0.46562,-0.36411,0.30914,0.53983,0.41118,0.88931,-0.089471,0.64683,-1.1795,0.20603,0.55649,0.090607,0.45087,-0.16374,-0.80862,1.3245
"gent",294,0.653333333,0.05,17.1464282,5.683579767,7.653658983,10.58258377,15.00597467,21.78169171,32.2928564,48.78286604,74.91018682,116.6701105,183.9307927,293,"/dZ/E/nt","_/_/J/E/n/t/_/","_/_/g/e/n/t/_/_/",0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,-0.23191,0.071209,-0.75819,-0.49478,-0.35848,1.044,0.15135,-0.23422,-0.96716,-0.47839,0.79205,-0.086028,-1.2068,-0.038652,-0.0092921,0.7672,0.10114,0.27386,-0.33734,0.22076,-0.091255,-0.20536,-0.11647,1.5676,-0.88667,-0.29166,0.083543,0.48211,-0.52862,-0.0067048,-0.80818,0.50436,0.23315,0.69105,0.68356,-0.98248,0.28596,0.17823,0.0048889,0.17477,0.68407,0.23467,-0.011856,-0.37603,0.43737,-0.41067,0.56548,0.41435,0.16961,0.89354
"ger",143,0.317777778,0.05,11.95826074,4.96284463,6.426067523,8.490784713,11.44003604,15.70012722,21.91652149,31.07119974,44.66466321,64.99892614,95.61860747,142,"/dZ/E/r","_/_/J/E/r/_/_/","_/_/g/e/r/_/_/_/",0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,-0.20872,0.42823,1.9481,-0.32136,-0.32106,0.49783,0.68252,-0.98418,-1.6784,-1.1735,0.76471,0.30802,-2.5733,-0.10857,0.18952,0.18332,0.24443,0.25465,-0.44985,0.0041304,-0.75031,-1.1298,-0.78169,1.3885,-0.42199,-0.053006,0.34921,-0.95059,-0.62051,-0.94728,0.016315,0.47399,-0.2437,1.5546,-0.65205,-0.37199,0.22769,-0.48242,1.1213,0.41466,1.2703,0.10053,1.0498,-1.2425,1.2332,0.60506,1.1089,-1.0204,0.28892,0.19557
"germ",1005,2.233333333,0.107362424,31.70173497,6.91274282,9.962577085,14.92522419,23.1839216,37.20145592,61.40346994,103.8080547,179.0469076,313.9911204,558.2689037,1004,"/dZ/@/rm","_/_/J/^/r/m/_/","_/_/g/e/r/m/_/_/",1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0.57435,-0.23254,0.59848,-0.26916,-0.10282,0.82244,0.5101,-0.77802,0.51824,-0.0049103,0.45478,-0.041104,-0.047525,0.5309,-0.22162,0.73091,0.051048,0.66598,-0.051694,1.3113,-0.059023,-0.70329,1.0954,-0.71065,-0.71949,-1.1235,-0.49894,-0.098457,1.3873,0.079379,0.6085,-0.99707,-0.78013,-0.1642,-0.33711,0.82588,-0.58326,0.4651,0.18109,0.33665,-0.0079132,-0.88244,0.36739,0.45484,2.2622,-0.017642,0.60722,0.82857,-1.1018,-0.2602
"get",584993,1299.984444,0.656049225,764.848351,13.27935516,27.73245536,66.18690938,175.7371254,504.2576067,1527.696702,4808.26771,15554.9115,51359.40439,172262.3199,584992,"g/E/t","_/_/g/E/t/_/_/","_/_/g/e/t/_/_/_/",1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0.1591,-0.21428,0.63099,-0.5995,0.31248,-0.16615,-0.90548,0.45115,0.051568,0.2591,-0.32882,0.48155,-0.34982,0.12905,1.0758,0.4869,0.5342,0.059762,0.2166,-1.1059,-0.25591,0.57462,0.54562,0.31043,0.37765,-2.0337,-0.22496,0.18447,0.82587,-1.1991,3.6042,1.1605,-0.59787,0.13,0.15678,0.13166,0.1851,0.36308,0.57538,-0.89593,-0.36366,0.28397,0.048614,0.7878,-0.087311,-0.23394,-0.14237,0.021215,-0.14219,0.66955
"ghat",24,0.053333333,0.05,4.898979486,3.17805383,3.741088103,4.440875113,5.315193113,6.41301229,7.797958971,9.552884788,11.785901,14.63835762,18.29540638,23,"g/O/t","_/_/g/a/t/_/_/","_/g/h/a/t/_/_/_/",1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0.43997,0.50057,-1.0051,-0.62207,-0.82931,0.27131,0.58299,-0.58502,0.2042,-1.3379,-0.55285,-0.050723,0.33472,-0.5184,-0.19685,1.6217,1.1643,0.51654,-0.087499,0.82873,0.9521,-0.07466,-0.23756,0.95458,1.1898,0.48817,-0.22413,1.0443,-0.38688,-0.54949,-0.57395,-0.46153,0.018009,1.1031,0.51914,0.27732,0.7021,-0.68788,-0.46078,0.99901,-0.38648,-0.43535,0.24095,-0.097384,0.026259,-0.19279,0.9386,-0.041546,1.1512,-1.2903
"ghats",29,0.064444444,0.05,5.385164807,3.36729583,4.003603313,4.805045287,5.820397645,7.113891309,8.770329614,10.90195196,13.6576528,17.23538122,21.89883962,28,"g/O/ts","_/_/g/a/t/s/_/","_/g/h/a/t/s/_/_/",1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0.27055,-0.080094,-1.4069,-0.044509,-1.3143,-0.17033,0.69603,-0.46376,1.4415,-0.62482,-0.36118,-0.76082,1.8441,-1.2933,-1.2588,1.5929,0.75399,0.011163,-0.61458,0.27408,-0.65867,0.017914,0.48447,0.85465,0.81381,0.16453,-0.16304,1.1347,-1.0955,-0.34158,0.7615,-0.51551,0.58916,0.18608,0.78532,0.089489,-0.51571,-0.45039,-0.87526,-0.2608,-0.26682,0.034482,0.70316,0.28302,0.062114,1.5284,1.0122,-0.59713,0.040856,-1.776
"ghee",89,0.197777778,0.05,9.433981132,4.48863637,5.665310257,7.270097273,9.480992044,12.55552871,16.86796226,22.96437357,31.64453319,44.08378894,62.01492167,88,"g/i/","_/_/g/i/_/_/_/","_/g/h/e/e/_/_/_/",0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,-0.68615,0.53609,-1.126,0.27057,-0.29781,-0.063803,1.0267,-0.10071,-0.55239,0.47857,0.52978,0.65972,1.1127,-0.1793,-0.53491,0.50989,-0.048999,0.59335,0.95643,-0.22919,0.44041,-0.69738,1.653,-0.35882,0.068942,0.52851,0.63488,0.77109,0.41562,0.11137,-0.17117,0.24728,-0.42875,1.2872,0.27666,-0.35501,-0.14891,0.77776,0.86562,1.4748,0.024673,0.079177,-0.090679,-0.51564,0.8354,0.34103,-0.826,-0.3729,0.57649,-0.32315
"ghost",7606,16.90222222,0.263936035,87.21238444,8.936692688,14.44081209,24.86766479,45.33266553,86.70774001,172.4247689,353.5902501,742.8086469,1590.354176,3456.67543,7605,"g/oU/st","_/_/g/o/s/t/_/","_/g/h/o/s/t/_/_/",1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.89956,0.24628,-0.3576,-0.189,0.50096,0.13314,-0.84531,0.090682,0.16656,-0.49991,-0.47699,0.52994,0.45561,0.42167,0.66203,-0.39836,0.38323,0.5231,-0.98139,-0.040376,-0.084645,0.26093,-0.04321,0.81343,0.47862,-0.67725,-1.4425,0.096242,0.67028,-0.4198,1.1019,-0.63388,-0.084695,-0.088292,-0.1666,0.62057,-0.21659,-1.4432,-0.1971,-0.78157,-0.1333,-0.021836,-0.27667,-0.071616,0.16043,0.012185,0.11797,-1.3049,-0.03429,-0.24052
